id,item_name,category,price,item_count
617182,776 Mittagsbuffet bis 11J.,Buffets,7.8,19
1392798,Rivella 0.33l + Blau,Alkoholfrei + Abfrage Rivella,4.84025641025641,39
1932362,"2019 Clos Venturi 0,1",Weißwein offen,4.0,18
398131,Punks Salame,PIZZA,8.5,2
1264659,Kroketten,Hauptspeisen,32.0,9
226983,Fondue Chinoise,Anlässe,44.0,22
2004597,Der Lipper + HEFE + Hähnchen* + WELL DONE + KEIN EXTRA + Finger* + Knoblauch Mayo,Burger + Brötchen + Extras + Garstufe + Extras + Extras Burger + Extras,12.5,1
669433,Pink Grapefruit Saft,Frisch gepresste Säfte,2.9800000000000053,150
1814859,Aeropress Brew + Nyarusiza,Kaffee warm + Zwangsabfrage Aeropress Brew,5.497727272727276,44
779431,Latte Macchiato + Kein Wasser + Normale Milch + mit Haselnuss Flavor,HEISSGETRÄNKE + ZAF nach Wasser + OAF Heißgetränke + OAF Latte Macchiato,4.700000000000001,12
49365,Pinot Noir 0.75l,Rotwein,22.000000000000004,8
1230402,Ramazotti 2cl,Degistif,2.3999999999999995,16
488007,Individu. Frühstck + Ei + Brie + Brötchen + Hartgekocht!!!,Frühstücke + Nachbestellungen + Nachbestellungen + Nachbestellungen + Frühstück Extrawünsche,3.4,1
1133097,Tonic Water 0.3l,Alkoholfreie Getränke,2.8999999999999995,7
1090769,Divers. Wein Sonstige,Wein Sonstige,57.4,5
1267013,Chartreuse 2cl,Kurze 2cl,3.5,13
582634,"Cordon Bleu, Bergkäse, Schwarz. Schinken + Broatkadoffel",Vun da Sau + Abfrage Beilagen (Zwang),19.900000000000002,13
1964149,Ægir - Sumbel Porter,Craft Fridge,7.2,5
262494,Diplomatico 2cl,Rum/Brän/Weinb/Aperi,3.9399999999999995,30
1712894,Granita,2021 menu,4.4887500000000005,40
439125,5er + ToGo ohne Tüte + FI Raffaello + FI Bueno + MI Raffaello + MI Bueno + TI Mandeln + TI Kokosraspel + TI Pistazien + FI Heidelbeeren + Ohne,Choose It + Choose It + Abfrage Fill It + Abfrage Fill It + Abfrage Melt it + Abfrage Melt it + Abfrage Top It + Abfrage Top It + Abfrage Top It + Abfrage Fruit It + Abfrage Complete It,4.9,1
1085588,Classic Daiquiri (Frozen),Classics,11.136363636363637,22
983357,Chai Latte + Hafermilch,Heißes + Milchsorte,4.0,8
1291168,Speedy Gonzales + VollkornBrot + ** + Potatoes + Pommes Frites + Chili Fries scharf + *,Hauptgänge + Abfrage Brot + Abfrage für Extra/ ohne + Beilagen + Beilagen + Beilagen + Abfrage Dip Saucen.,21.8,1
700159,wasser (still bis prickelnd) 1 L + Medium,Kaltgetränke + Zwangsabfrage Tafelwasser,4.0,1
1354940,Linie Aquavit 2cl,Shots / Spirituosen,2.3999999999999995,16
1373053,Hefe Weizen Dunkel,Biere,4.9,3
108092,Dinnede Schinken + Ohne Getränk,Warme Speisen + Abfrage für alle Dinnede als Zwang,7.714285714285712,21
1878942,S Gebratene Schollenfilets mit Bratkartoffeln/Speck,Weihnachten 2021,22.899999999999995,16
1012128,Flat White + mit Mandelmilch + Houseblend,Heiß getränke + Optionalabfrage Milchgetränke + Optionalabfrage Kaffeesorte,3.257142857142857,7
1902057,Zwetschgen-Kuchen + mit Sahne,Kuchen + Abfrage Sahne,4.2,2
201635,Landesberger Hochzeitssuppe,Hausgemachte Suppen,5.2,8
1136115,"Now Sunny Orange 0,33",Alkoholfreie Getränke,2.8000000000000003,11
1728135,Gewürztraminer 1/8l,Wein,3.900000000000001,23
148731,Chai 250g,TA foods,12.861578947368422,19
566679,Buddha Lächelt,Spezialitäten,16.0,1
