item_name	category	tags	id
Heiße Schokolade mit Schlag	Kaffee / Tee	{'hot_drinks'}	1574940
Bun Tron Hähnchen	20. Bun Tron	set()	125019
Lavender CreamCheese + Cream Cheese + Boba + 100 Sugar / Less Ice	Cream Cheese Tea + Topping + Topping + Sugar / Ice	{'other_non_alcoholic_drinks'}	503988
Sahne	Kuchen und Torte	set()	243714
Tee	Getränke Restaurant	{'hot_drinks'}	40767
Hierbas Cabrabock 0,7	Hierbas Palo	{'spirits'}	364719
Bacon Cheezy Burger + + Cheddar + OHNE Gurkenrelish	Burger + Abfrage für alle Burger (als Zwang) + Abfrage für alle Burger (als Zwang)	set()	776149
Red wine glas	By the glass	{'wine'}	417359
Knauß, Riesling Tr.	Deutschland	{'wine'}	788694
2er-Mix + Falafel + Halloumi + Linsensalat BL + Tabouleh BL + Rote–Beete–Rotkohl BL + Erdnuss Sauce + Sesam + Keine Sauce + Mitnahme	Platte + Platte + Platte + AF Beilage + AF Beilage + AF Beilage + AF Sauce + AF Sauce + AF Extras + AF Inhouse/Mitnahme	set()	1541502
Medium 0.7 l	Wasser	{'other_non_alcoholic_drinks'}	768335
Coca Cola light 0.2l	Alkoholfrei	{'carbonated_softdrink'}	1451243
Großer Salat mit KB/Brot + mit Brot* + Mit Schnitzel Wiener Art	Salate + AF Gr Salat + AF Gr Salat	set()	721778
Chili Cheese Döner	Döner	set()	5792
Verre vin rouge	BOISSONS ALCOOLISEES	{'wine'}	1062300
Jägermeister 2cl	Digestife	{'spirits'}	254157
Moko Loko	Cocktails ( 2 ) Ohne	{'spirits'}	1778706
Rinderroulade + Spätzle	Amol ebbes anders + AF Beilagen	set()	1859065
Steak Fries	Beilagen	set()	1848347
Galette des rois	Desserts	set()	1591275
Formule du soir + LAMB Le Stylé * + A Point + Frites Paprika. + Coca zéro *	FORMULES + BURGERS* + Cuisson Burgers + ACCOMPAGNEMENTS + SODA menu	{'carbonated_softdrink'}	1354140
Crema calabaza	Entradas	set()	629528
Bacon + OHNE GURKE	BURGER + Extras	set()	1390257
Alk. Frei + Meckatzer Bier Alk.  frei 0,33l	Biere + Biere	{'beer'}	1900636
Christian Drouin + -	Gin + Supplément Mixer	{'spirits'}	407041
Cuttlefish #1	Plates	set()	731652
Grappa di Prosecco 8 Anni 2cl	Weinkarte Grappa	{'spirits', 'sparkling_wine'}	853087
14 Diavolo * + Mais	Pizza + AF Belag Pizza	set()	422254
